Region,Office PBI,Project Title,Transparency Portal,Country TRANSPARENCY,Budget,Expenses from TP,EXPENSES without minos
RBAS,Djibouti,Data for Food Security Preparedness,https://open.undp.org/projects/00144414,DJI,125000,51831,51831
RBAP,Indonesia,Seventh OP GEF-SGP in Indonesia,https://open.undp.org/projects/00141259,IND,227304,58491,58491
RBAS,Tunisia,Support to post disaster needs assessment in Nabeul,https://open.undp.org/projects/00114489,TUN,60182,59763,59763
RBAS,Jordan,"GCF -water efficiency in Agr, sector",https://open.undp.org/projects/00099691,JOR,60000,60730,60730
RBAS,Lebanon,Protection of the Litani river,https://open.undp.org/projects/00111422,LBN,72516,60764,60764
RBLAC,Brazil,IPC106275 PNUD Studies and proposal for Measures SDG 6,https://open.undp.org/projects/00106275,BRA,142920,61023,61023
RBAS,Lebanon,Lebanon Financing Facility,https://open.undp.org/projects/00136487,LBN,178864,61196,61196
RBAS,Egypt,Sixth Operational Phase of the GEF Small Grants Programm,https://open.undp.org/projects/00089272,EGY,107753,70000,70000
RBEC,Tajikistan,New World: Inclusive Sustainable Human Development Initi,https://open.undp.org/projects/00107565,TJK,75000,74541,74541
RBEC,Republic of Moldova,PPG Sustainable wetland Prut River,https://open.undp.org/projects/00131156,MDA,75400,74679,74679
RBEC,Belarus,IP Freshwater Ecosystems,https://open.undp.org/projects/00120169,BLR,203021,79644,79644
RBA,Ghana,Accelerating SDGs in in the Okyeman Area,https://open.undp.org/projects/00132017,GHA,148522,84044,84044
RBAS,Egypt,Seventh Operational Phase of the GEF SGP in Egypt,https://open.undp.org/projects/00123340,EGY,153145,84169,84169
RBA,Ghana,Ghana multi-stakeholder platform for waste recovery,https://open.undp.org/projects/00111633,GHA,140413,87550,87550
RBA,Mauritius,"Strengthening the institutional capacity of African Network of Basin Organization (ANBO), contributing to the improved transboundary water governance in Africa",https://open.undp.org/projects/00097212,MUS,664014,90913,90913
RBEC,Tajikistan,Conservation and Sustainable Management,https://open.undp.org/projects/00123811,TJK,101100,91662,91662
RBEC,Tajikistan,Enabling an Effective National Adaptation Plan (NAP) Pro,https://open.undp.org/projects/00104152,TJK,812897,97826,97826
RBEC,Tajikistan,Engaging Communities to Access and Effectively Manage Dr,https://open.undp.org/projects/00115560,TJK,104583,98988,98988
RBAP,Samoa,Tropical Cyclone GITA Early Recovery,https://open.undp.org/projects/00109936,WSM,100000,99699,99699
RBA,Cabo Verde,Immediate Response 2017 Drought in Cabo Verde,https://open.undp.org/projects/00109624,CPV,100000,99822,99822
RBEC,Belarus,IP Niemen-Bug,https://open.undp.org/projects/00107972,BLR,101505,99999,99999
RBEC,Armenia,Lake Sevan-Project Preparation Grant stage,https://open.undp.org/projects/00139945,ARM,106460,103927,103927
RBEC,Republic of Moldova,Engagement Facility Project for UNDP Moldova,https://open.undp.org/projects/00099822,MDA,458219,107462,107462
RBA,Lesotho,Integrated Watershed Management,https://open.undp.org/projects/00112941,LSO,119036,109532,109532
RBAP,Nepal,PIMS 5434 Developing climate resilient livelihoods,https://open.undp.org/projects/00087354,NPL,281555,110769,110769
RBA,Senegal,Senegal entitled EbA in the Ferlo and Plateau of Thies,https://open.undp.org/projects/00131078,SEN,122000,113938,113938
RBEC,Tajikistan,Support to Water Initiatives of Tajikistan,https://open.undp.org/projects/00137650,TJK,119000,115255,115255
RBEC,Uzbekistan,Sustainable management of lakes and wetlands (PPG),https://open.undp.org/projects/00123056,UZB,112775,116110,116110
RBEC,Turkmenistan,Conservation of Land Resourses PPG,https://open.undp.org/projects/00105605,TKM,129377,118394,118394
RBA,Seychelles,PPG for Ridge to Reef Project Seychelles,https://open.undp.org/projects/00108219,SYC,120000,119885,119885
RBEC,Ukraine,Sustained Natural Resources,https://open.undp.org/projects/00090467,UKR,193610,120000,120000
RBAP,India,"Disaster Mgt, Relief & Rehab",https://open.undp.org/projects/00136682,IND,141500,122404,122404
RBAP,Philippines,Multi Hazard Mapping and Community Disaster Preparation,https://open.undp.org/projects/00044511,PHL,450077,122558,122558
RBA,Uganda,Nile Basin Enhancing conjunctive management of surface,https://open.undp.org/projects/00111247,UGA,150000,135696,135696
RBEC,Kazakhstan,Leveraging Nationally Determined Contributions (NDCs),https://open.undp.org/projects/00142410,KAZ,281896,142827,142827
RBAP,India,Strengthen Chemicals and Environment Initiatives,https://open.undp.org/projects/00121267,IND,180000,143548,143548
